Nama Barang;Satuan;Harga
Battery AA - Alkaline @Isi 6 (LR6-ALK-4B+2);Set;28000
Battery AA @ Isi 3 - Energizer;Set;18500
Battery AA Charger @2 (2000mAh) - Energizer;Set;86000
Battery AAA -  Alkaline (LR03-ALK-2B);Pcs;6500
Battery AAA -  Alkaline @Isi 6 (LR03-ALK-4B+2);Set;26000
Battery AAA @ Isi 3 - Energizer;Set;18500
Battery AAA Charger @2 (700 mAh) - Energizer;Set;66000
Battery AAA Merk ABC (R03 Biru);Pcs;2750
Battery Bulat U/ Remot CR 2450 N;Pcs;35000
Battery Calculator CR 2025;Pcs;6000
Battery Calculator CR 2032;Pcs;6000
Battery Calculator LR 1130 Maxcell;Pcs;5000
Battery Calculator LR 41 Merk Maxell;Pcs;5000
Battery Calculator LR 44;Pcs;5000
Battery CR 1620;Pcs;10000
Battery CR 2016 3V;Pcs;6000
Battery Kecil AA- ABC (R6 BIRU 4S);Pcs;2750
Battery Renata CR2477;Pcs;42500
Battery Sedang Size C - Energizer;Pcs;29500
Battery Size C Sedang - ABC (R14C);Pcs;5000
Battery Size D Besar - ABC (R20);Pcs;7500
Battery SR 44;Pcs;40000
Bayfresh Reed Diffuser (Refill);Pcs;39500
Bayfresh Reffil Matic 225ml;Pcs;38500
Baygon Spray Fresh 600 ml;Pcs;43000
Benang Jahit 20/6 Karung Polyester @6;Pak;66000
Bendera K3 Satin 90 x 135;Pcs;80000
Bendera Merah Putih Satin 90 x 135;Pcs;110000
Betadine Botol 15 Ml;Pcs;18500
Binder Clip No. 105 - Joyko;Box;2200
Binder Clip No. 105 - Kenko;Box;2500
Binder Clip No. 107 -  Joyko;Box;2500
Binder Clip No. 107 - Kenko;Box;2800
Binder Clip No. 111 - Joyko;Box;4000
Binder Clip No. 111 - Kenko;Box;4300
Binder Clip No. 155 - Joyko;Box;5500
Binder Clip No. 155 - Kenko;Box;6100
Binder Clip No. 200 - Joyko;Box;9500
Binder Clip No. 200 - Kenko;Box;10800
Binder Clip No. 260 -  Joyko;Box;14500
Binder Clip No. 260 - Kenko;Box;16200
Binder Clip No. 280 -  Joyko;Box;22000
Binder Clip No. 280 - Kenko;Box;22000
Binder Clip No. 300 - Joyko;Box;44000
Binder Clip No. 300 - Kenko;Box;44000
Binder Clip No. 320 - Joyko;Box;60500
Binder Note BN-107 Uk. A5 Merk Joyko;Pcs;25500
Bioplacenton 15 gr;Pcs;30000
Book N Merk Lion No. 7;Pcs;21000
Box File 1034B Biru Merk Bindex;Pcs;31000
Box File 1034B Hitam Merk Bindex;Pcs;31000
Box File 4011-01 (Biru) Merk Bantex;Pcs;33000
Box File 4011-05 (Grey) Merk Bantex;Pcs;33000
Box File 4011-09 (Merah) Merk Bantex;Pcs;33000
Box File 4011-10 (Hitam) Merk Bantex;Pcs;33000
Box File 4011-11 (Cobalt Blue) Merk Bantex;Pcs;33000
Box File 4011-19 (Pink) Merk Bantex;Pcs;33000
Box File 4011-61 (Grape) Merk Bantex;Pcs;33000
Box File 4011-65 (Lime) Merk Bantex;Pcs;33000
Box File 4012 (Biru) A4 Bantex;Pcs;33000
Box File 4012 (Hitam) A4 Bantex;Pcs;33000
Box File 4021-01 (Biru) Merk Bantex;Pcs;45000
Box File Besi 2SAP VT-BF82JR V-Tec;Pcs;85000
Box File Bindex 1035 B (Hitam);Pcs;36000
Box File Biru Merk Gema;Pcs;17000
Box File Hitam Merk Gema;Pcs;17000
Box File Keranjang Plastik BT-152 Maspion;Pcs;29500
Box File Keranjang Plastik V-Tec 101;Pcs;15500
Box File No. 27 Merk Star;Pcs;13000
Buku Absen ;Pcs;3000
Buku Agenda A5 - Butterfly;Pcs;33000
Buku Agenda Pocket A6;Pcs;27500
Buku Bank Folio;Pcs;11000
Buku Bank Kwarto ;Pcs;7500
Buku Baster 100 Lmb - Bintang Obor;Pcs;13500
Buku Block Note A5 - Paperline;Pcs;4000
Buku Double Folio 100 Lmb - Bintang Obor;Pcs;35000
Buku Expedisi 100 (isi 80 lbr) - Ria;Pcs;8000
Buku Expedisi 100 Lmb - Bintang Obor;Pcs;8500
Buku Expedisi 100 Lmb - Garda;Pcs;9000
Buku Expedisi 100 Lmb - Kiky;Pcs;12000
Buku Expedisi 100 Lmb - Paperline;Pcs;9000
Buku Expedisi 200 Lmb - Bintang Obor;Pcs;18500
Buku Faktur 3 Ply - Paperline;Pcs;9800
Buku Folio 100 (isi 80 lbr) - Ria;Pcs;15000
Buku Folio 100 Lmb - Bintang Obor;Pcs;15000
Buku Folio 100 Lmb - Garda;Pcs;17500
Buku Folio 100 Lmb - Kiky;Pcs;22000
Buku Folio 100 Lmb - Paperline;Pcs;17500
Buku Folio 200 (isi 160 lbr) - Ria;Pcs;29500
Buku Folio 200 Lmb - Bintang Obor;Pcs;37000
Buku Folio 200 Lmb - Kiky;Pcs;42000
Buku Folio 200 Lmb - Paperline;Pcs;31500
Buku Folio 300 Lmb - Bintang Obor;Pcs;50000
Buku Kas Folio Merk R/BM;Pcs;11000
Buku Kas Kwarto Merk R/BM;Pcs;6000
Buku Kasbon merk BM/ KNI / PM;Pcs;4500
Buku Kwarto 100 (isi 80 lbr) - Ria;Pcs;8000
Buku Kwarto 100 Lmb - Bintang Obor;Pcs;8500
Buku Kwarto 100 Lmb - Garda;Pcs;9500
Buku Kwarto 100 Lmb - Paperline;Pcs;9400
Buku Kwarto 200 (isi 160 lbr) - Ria;Pcs;16500
Buku Kwarto 200 Lmb - Bintang Obor;Pcs;16500
Buku Kwarto 200 Lmb - Kiky;Pcs;22000
Buku Kwarto 200 Lmb - Paperline;Pcs;17000
Buku Kwitansi Uk. Besar - Paperline;Pcs;4700
Buku Kwitansi Uk. Kecil - Paperline;Pcs;2200
Buku Kwitansi Uk. Sedang - Paperline;Pcs;3700
Buku Nota Kontan 1 Ply Besar - Paperline;Pcs;4000
Buku Nota Kontan 1 Ply Kecil - Paperline;Pcs;2200
Buku Nota Kontan 2 Ply Besar - Paperline;Pcs;6300
Buku Nota Kontan 2 Ply Kecil - Paperline;Pcs;3200
Buku Nota Kontan 3 Ply Besar - Paperline;Pcs;9500
Buku Nota Kontan 3 Ply Kecil - Paperline;Pcs;4600
Buku Oktavo A6 100 Lmb - Paperline;Pcs;5500
Buku Surat Jalan 3 Ply - Paperline;Pcs;9800
Buku Tanda Terima 2 Ply (Berdiri) - R / PM / Brilliant;Pcs;7000
Buku Tanda Terima 2 Ply (Tidur) - PM;Pcs;5500
Buku Tulis 100 Lembar - AA / Sidu;Pcs;9000
Buku Tulis 38 Lembar - SIDU;Pcs;3300
Buku Tulis 58 Lembar - SIDU;Pcs;4800
Buku Tulis Big Boss 42 Lmb - Sidu;Pcs;5500
Buku Tulis Favourite Campus 50 Lbr - Bintang Obor;Pcs;5500
Buku Tulis Maxi 42 Lmb - Sidu;Pcs;5500
Business File A4 (Biru) Merk Inter X;Pcs;2500
Business File A4 (Hijau) Merk Inter X;Pcs;2500
